epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5977,2.18474,3.35863,1.98524,0.02031,0.08642,0.0082,0.00312,2.14165,3.88794,2.10789,2e-05,2e-05,2e-05
2,91.8132,2.16478,3.2265,1.87551,0.15028,0.18519,0.07287,0.03006,1.98122,3.03247,1.94002,5.8812e-05,5.8812e-05,5.8812e-05
3,132.343,2.1652,3.00087,1.78832,0.46044,0.34568,0.26675,0.11419,1.7967,2.68795,1.74141,9.604e-05,9.604e-05,9.604e-05
4,171.446,1.79406,2.59142,1.65016,0.49681,0.28395,0.29569,0.14421,1.65128,3.04277,1.61009,0.000131684,0.000131684,0.000131684
5,213.29,1.6291,2.32052,1.57088,0.53479,0.35802,0.39143,0.18901,1.57861,3.74332,1.55165,0.000165744,0.000165744,0.000165744
6,258.808,1.49035,1.99492,1.4251,0.58214,0.48158,0.53051,0.28527,1.54442,2.71246,1.48996,0.00019822,0.00019822,0.00019822
7,299.99,1.53475,1.93039,1.3756,0.54999,0.49797,0.55258,0.33838,1.47051,1.98308,1.39419,0.000229112,0.000229112,0.000229112
8,336.326,1.51422,1.62227,1.3297,0.75581,0.38272,0.50573,0.3021,1.49011,1.95305,1.38456,0.00025842,0.00025842,0.00025842
9,376.648,1.51984,1.9058,1.43277,0.81445,0.34568,0.49295,0.29522,1.4637,2.13379,1.33822,0.000286144,0.000286144,0.000286144
10,410.335,1.59547,1.64909,1.39112,0.6505,0.64198,0.64185,0.38631,1.42485,1.87201,1.29742,0.000312284,0.000312284,0.000312284
11,453.574,1.48372,1.36281,1.23616,0.75235,0.61728,0.72094,0.45304,1.38448,1.61171,1.25096,0.00033684,0.00033684,0.00033684
12,486.781,1.32409,1.17056,1.16674,0.65976,0.62963,0.724,0.47116,1.31537,1.58638,1.19677,0.000359812,0.000359812,0.000359812
13,528.029,1.49436,1.34649,1.24637,0.84335,0.66468,0.7798,0.49109,1.33372,1.62985,1.18239,0.0003812,0.0003812,0.0003812
14,562.282,1.31038,1.09281,1.20007,0.82384,0.69285,0.80276,0.50858,1.32605,1.45102,1.16403,0.000401004,0.000401004,0.000401004
15,608.571,1.59513,1.4324,1.33528,0.87323,0.76543,0.84617,0.53773,1.30826,1.12573,1.14249,0.000419224,0.000419224,0.000419224
16,664.43,1.47923,1.19725,1.23352,0.84676,0.69136,0.84486,0.51459,1.31282,1.30791,1.13842,0.00043586,0.00043586,0.00043586
17,711.84,1.29428,1.43274,1.1525,0.80881,0.69136,0.8396,0.52664,1.26767,1.81881,1.13541,0.000450912,0.000450912,0.000450912
18,755.701,1.34378,1.30585,1.18788,0.73833,0.76639,0.82294,0.52377,1.22838,1.39938,1.12875,0.00046438,0.00046438,0.00046438
19,802.51,1.32693,1.15597,1.20732,0.79629,0.76543,0.84083,0.54725,1.24876,1.12161,1.14991,0.000476264,0.000476264,0.000476264
20,852.008,1.2683,1.07451,1.16841,0.76415,0.76004,0.83919,0.55278,1.24665,1.19586,1.1583,0.000486564,0.000486564,0.000486564
21,895.549,1.33595,1.04811,1.24238,0.87243,0.75989,0.86003,0.58437,1.14179,1.42275,1.1094,0.00049528,0.00049528,0.00049528
22,936.396,1.18449,1.0698,1.12501,0.76651,0.89167,0.89508,0.60451,1.11359,1.18388,1.08577,0.000502412,0.000502412,0.000502412
23,984.73,1.16913,1.00315,1.17737,0.92513,0.79012,0.89217,0.60112,1.11353,0.97744,1.06263,0.00050796,0.00050796,0.00050796
24,1023.47,1.12208,1.0195,1.14329,0.82035,0.85185,0.85064,0.57211,1.12444,1.0229,1.06206,0.000511924,0.000511924,0.000511924
25,1071.34,1.21054,0.9581,1.09666,0.74985,0.77718,0.82304,0.5377,1.14929,1.18428,1.08457,0.000514304,0.000514304,0.000514304
26,1117.43,1.2605,1.09447,1.16605,0.94322,0.76543,0.8856,0.55921,1.18692,1.52725,1.1031,0.0005151,0.0005151,0.0005151
27,1162.18,1.20767,0.95281,1.1123,0.9655,0.76543,0.90709,0.57343,1.19226,1.3897,1.11359,0.000514312,0.000514312,0.000514312
28,1208.12,1.25579,1.03891,1.11375,0.9655,0.76543,0.90709,0.57343,1.19226,1.3897,1.11359,0.00051194,0.00051194,0.00051194
29,1254.68,1.20264,1.00248,1.1228,0.94925,0.83951,0.93294,0.62178,1.19638,0.99444,1.10891,0.000507984,0.000507984,0.000507984
30,2246.67,1.2872,0.93498,1.19111,0.95942,0.88889,0.93478,0.63432,1.14572,0.87757,1.06345,0.000502444,0.000502444,0.000502444
31,2289.76,1.17697,0.94519,1.11048,0.95942,0.88889,0.93478,0.63432,1.14572,0.87757,1.06345,0.00049532,0.00049532,0.00049532
32,2322.11,1.06298,0.92706,1.11491,0.90487,0.82716,0.90656,0.62237,1.07424,0.95093,1.03791,0.000486612,0.000486612,0.000486612
33,2357.11,1.14512,0.91486,1.14997,0.90642,0.83707,0.91994,0.64024,1.04255,0.9777,1.02595,0.00047632,0.00047632,0.00047632
34,2395.01,1.12509,0.87827,1.13343,0.90642,0.83707,0.91994,0.64024,1.04255,0.9777,1.02595,0.000464444,0.000464444,0.000464444
35,2429.26,1.08903,0.77184,1.08728,0.95979,0.88402,0.95101,0.68919,0.95681,0.85269,0.99384,0.000450984,0.000450984,0.000450984
36,2464,1.1409,0.80938,1.07728,0.96315,0.90123,0.97138,0.7012,0.93534,0.78859,0.98535,0.00043594,0.00043594,0.00043594
37,2499.43,1.12812,0.75654,1.07259,0.96315,0.90123,0.97138,0.7012,0.93534,0.78859,0.98535,0.000419312,0.000419312,0.000419312
38,2537.97,1.06861,0.74089,1.07723,0.9863,0.88888,0.96586,0.70569,0.97323,0.76652,0.9982,0.0004011,0.0004011,0.0004011
39,3009.25,0.99606,0.72859,1.03133,0.95443,0.90123,0.96793,0.68971,1.02418,0.75717,1.02974,0.000381304,0.000381304,0.000381304
40,3052.83,1.0459,0.77292,1.09432,0.95443,0.90123,0.96793,0.68971,1.02418,0.75717,1.02974,0.000359924,0.000359924,0.000359924
41,3089.31,0.99947,0.73344,1.05533,0.92641,0.93256,0.95723,0.70347,1.00057,0.7029,1.02094,0.00033696,0.00033696,0.00033696
42,3122.93,1.03971,0.71575,1.09533,0.98336,0.96296,0.97514,0.72272,0.95614,0.65849,0.9992,0.000312412,0.000312412,0.000312412
43,3164.43,0.98143,0.7315,1.0489,0.98336,0.96296,0.97514,0.72272,0.95614,0.65849,0.9992,0.00028628,0.00028628,0.00028628
44,3201.32,1.00642,0.70166,1.04108,0.99498,0.96296,0.98772,0.74569,0.90864,0.63544,0.97813,0.000258564,0.000258564,0.000258564
45,3233.87,0.96119,0.69331,1.04405,0.99498,0.96296,0.98772,0.74569,0.90864,0.63544,0.97813,0.000229264,0.000229264,0.000229264
46,3271.45,0.94602,0.63093,0.93874,0.99428,0.96296,0.98102,0.76954,0.85948,0.6063,0.96037,0.00019838,0.00019838,0.00019838
47,3442.99,0.77099,0.62201,0.93104,0.99428,0.96296,0.98102,0.76954,0.85948,0.6063,0.96037,0.000165912,0.000165912,0.000165912
48,3482.48,0.99708,0.65754,1.0475,0.99374,0.96296,0.98185,0.76921,0.82533,0.58508,0.95075,0.00013186,0.00013186,0.00013186
49,3518.03,0.85546,0.60947,0.95708,0.99374,0.96296,0.98185,0.76921,0.82533,0.58508,0.95075,9.6224e-05,9.6224e-05,9.6224e-05
