epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7541,2.0865,3.26745,1.85668,0.0024,0.22222,0.00624,0.0018,2.1048,3.94784,2.03531,2e-05,2e-05,2e-05
2,26.2022,2.05022,3.41378,1.73497,0.00307,0.28395,0.01246,0.00313,1.97254,3.90521,1.91852,5.99406e-05,5.99406e-05,5.99406e-05
3,38.6154,2.06878,3.48146,1.74758,0.00427,0.39506,0.0277,0.01682,1.83093,3.75839,1.75633,9.9802e-05,9.9802e-05,9.9802e-05
4,50.6782,1.75014,3.21002,1.62972,0.0064,0.59259,0.03792,0.0234,1.68469,3.58453,1.54615,0.000139584,0.000139584,0.000139584
5,63.0246,1.69323,3.18409,1.61442,0.00707,0.65432,0.06293,0.03942,1.53217,3.43307,1.37232,0.000179287,0.000179287,0.000179287
6,75.0444,1.57053,2.86474,1.4311,0.0076,0.7037,0.0943,0.05729,1.47909,3.34843,1.29164,0.000218911,0.000218911,0.000218911
7,87.0685,1.64809,2.59021,1.4234,0.00827,0.76543,0.12368,0.07948,1.47813,3.29213,1.27318,0.000258456,0.000258456,0.000258456
8,99.6222,1.54164,2.44188,1.35076,0.0088,0.81481,0.14822,0.0912,1.51203,3.23676,1.28212,0.000297921,0.000297921,0.000297921
9,111.877,1.57219,2.7159,1.56607,0.00893,0.82716,0.16808,0.10751,1.52862,3.20585,1.27427,0.000337307,0.000337307,0.000337307
10,123.894,1.67215,2.11453,1.45175,0.00893,0.82716,0.19466,0.12924,1.516,3.15981,1.26389,0.000376614,0.000376614,0.000376614
11,135.978,1.54306,1.84929,1.32097,0.00853,0.79012,0.19741,0.13505,1.44936,3.13342,1.25275,0.000415842,0.000415842,0.000415842
12,148.097,1.48977,1.856,1.28612,0.00867,0.80247,0.20878,0.14777,1.37098,3.12734,1.21852,0.000454991,0.000454991,0.000454991
13,160.147,1.66378,1.90852,1.35739,0.00867,0.80247,0.22353,0.16266,1.33227,3.11713,1.20207,0.00049406,0.00049406,0.00049406
14,172.173,1.36284,1.65936,1.29896,0.0092,0.85185,0.23933,0.16904,1.32897,3.1031,1.20096,0.00053305,0.00053305,0.00053305
